id,subset,anomaly_class,video_start,video_end,anomaly_start,anomaly_end,num_frames,anomaly_start_s,anomaly_end_s,duration_s,ignore,ego_involve,night,channel,accident_name,frames_dir_exists
qzMjfBx1KI0_001259,train,ego: leave_to_right,1259,1413,37,59,155,3.7,5.9,15.5,,,,,,1
qzMjfBx1KI0_002692,train,ego: leave_to_right,2692,2783,14,92,92,1.4,9.2,9.2,,,,,,1
p-fBcE77G4c_005117,train,ego: leave_to_right,5117,5212,47,87,96,4.7,8.7,9.6,,,,,,1
DpQBo4gb6Lw_000907,train,ego: leave_to_right,907,1045,72,134,139,7.2,13.4,13.9,,,,,,1
EY8x-fyQkbk_000286,train,ego: leave_to_right,286,427,37,111,142,3.7,11.1,14.2,,,,,,1
yhtzAKqRyXw_005208,train,ego: leave_to_right,5208,5289,38,58,82,3.8,5.8,8.2,,,,,,1
Q7VBPeGwJWw_001111,train,ego: leave_to_right,1111,1269,29,123,159,2.9,12.3,15.9,,,,,,1
PqbpIHZvjMA_001683,train,ego: leave_to_right,1683,1791,39,96,109,3.9,9.6,10.9,,,,,,1
fHUJcUaW2mE_001103,train,ego: leave_to_right,1103,1202,40,81,100,4.0,8.1,10.0,,,,,,1
f482qwPz7ns_001256,train,ego: leave_to_right,1256,1403,96,147,148,9.6,14.7,14.8,,,,,,1
RASKiMoxhOE_003357,train,ego: leave_to_right,3357,3462,37,93,106,3.7,9.3,10.6,,,,,,1
1u69z-wsDIc_002579,train,ego: leave_to_right,2579,2677,41,84,99,4.1,8.4,9.9,,,,,,1
90gyBengKDs_004600,train,ego: leave_to_right,4600,4649,16,50,50,1.6,5.0,5.0,,,,,,1
yB6fjM1UUC0_000341,train,ego: leave_to_right,341,499,72,118,159,7.2,11.8,15.9,,,,,,1
UKBuDqU8qTM_002520,train,ego: leave_to_right,2520,2628,45,102,109,4.5,10.2,10.9,,,,,,1
uO2zGO5ydBc_001658,train,ego: leave_to_right,1658,1782,57,98,125,5.7,9.8,12.5,,,,,,1
88LcRU7uEFE_000370,train,ego: leave_to_right,370,509,34,92,140,3.4,9.2,14.0,,,,,,1
K1r3m5OrmB4_000236,train,ego: leave_to_right,236,311,30,58,76,3.0,5.8,7.6,,,,,,1
3u_CIo9IaWo_000332,train,ego: leave_to_right,332,437,44,64,106,4.4,6.4,10.6,,,,,,1
fsqORUrKLYg_001105,train,ego: turning,1105,1223,50,86,119,5.0,8.6,11.9,,,,,,1
ujVRDgGVzlQ_002470,train,ego: turning,2470,2529,38,59,60,3.8,5.9,6.0,,,,,,1
Zpo0kwg1XEQ_001399,train,ego: turning,1399,1476,34,52,78,3.4,5.2,7.8,,,,,,1
fb5i7JlmJdg_000073,train,ego: turning,73,179,40,80,107,4.0,8.0,10.7,,,,,,1
UjkeNSr2dXQ_005463,train,ego: turning,5463,5525,13,32,63,1.3,3.2,6.3,,,,,,1
8dI7OolIEXY_003076,train,ego: turning,3076,3174,36,86,99,3.6,8.6,9.9,,,,,,1
UOjQsfDXjO0_001718,train,ego: turning,1718,1856,84,126,139,8.4,12.6,13.9,,,,,,1
h55PiQMnlJY_003675,train,ego: turning,3675,3773,53,84,99,5.3,8.4,9.9,,,,,,1
YBEYOS3A3Ic_000532,train,ego: turning,532,665,62,93,134,6.2,9.3,13.4,,,,,,1
fsqORUrKLYg_001563,train,ego: turning,1563,1671,64,84,109,6.4,8.4,10.9,,,,,,1
DSBGS6aRzgc_000771,train,ego: turning,771,822,45,52,52,4.5,5.2,5.2,,,,,,1
kVhgFPPG-wo_004282,train,ego: turning,4282,4358,13,68,77,1.3,6.8,7.7,,,,,,1
L334aqEJxys_004719,train,ego: turning,4719,4807,50,71,89,5.0,7.1,8.9,,,,,,1
TNZv-NBcV5U_004020,train,ego: turning,4020,4084,35,50,65,3.5,5.0,6.5,,,,,,1
RASKiMoxhOE_003270,train,ego: turning,3270,3355,26,64,86,2.6,6.4,8.6,,,,,,1
Izf9l3VWQuo_000331,train,ego: turning,331,500,40,81,170,4.0,8.1,17.0,,,,,,1
4K_6s1n6BpU_005467,train,ego: turning,5467,5550,23,48,84,2.3,4.8,8.4,,,,,,1
pQdl0apLT70_004880,train,ego: turning,4880,4974,28,35,95,2.8,3.5,9.5,,,,,,1
bcpfYpmDcp0_000888,train,ego: turning,888,970,28,70,83,2.8,7.0,8.3,,,,,,1
fHUJcUaW2mE_000347,train,ego: turning,347,465,63,106,119,6.3,10.6,11.9,,,,,,1
fsqORUrKLYg_000211,train,ego: turning,211,349,66,116,139,6.6,11.6,13.9,,,,,,1
Sihe6aeyLHg_002452,train,ego: turning,2452,2537,32,55,86,3.2,5.5,8.6,,,,,,1
gZbGLa253Ak_004574,train,ego: turning,4574,4652,28,79,79,2.8,7.9,7.9,,,,,,1
HzVbo46kkBA_001028,train,ego: turning,1028,1116,27,47,89,2.7,4.7,8.9,,,,,,1
OWtbKblBOKI_002215,train,ego: turning,2215,2282,35,62,68,3.5,6.2,6.8,,,,,,1
4wKjxDXnmYs_005526,train,ego: turning,5526,5593,24,36,68,2.4,3.6,6.8,,,,,,1
lKMwX4nA64k_005856,train,ego: turning,5856,5888,25,33,33,2.5,3.3,3.3,,,,,,1
ahKX0rtdMJc_001723,train,ego: turning,1723,1825,48,59,103,4.8,5.9,10.3,,,,,,1
PYL3JcSsS6o_005610,train,ego: turning,5610,5728,76,114,119,7.6,11.4,11.9,,,,,,1
fdvMUP8qvzw_004172,train,ego: turning,4172,4230,38,59,59,3.8,5.9,5.9,,,,,,1
JV0D-YkWHD8_003124,train,ego: turning,3124,3188,23,56,65,2.3,5.6,6.5,,,,,,1
ieP36TLihGM_004234,train,ego: turning,4234,4342,52,74,109,5.2,7.4,10.9,,,,,,1
dZG1VKsgs60_001563,train,ego: turning,1563,1653,28,55,91,2.8,5.5,9.1,,,,,,1
fWJbp43k644_002373,train,ego: turning,2373,2487,52,79,115,5.2,7.9,11.5,,,,,,1
IQwS7BEjUxM_004386,train,ego: turning,4386,4494,31,80,109,3.1,8.0,10.9,,,,,,1
nHvTqyRntbY_002024,train,ego: turning,2024,2106,25,44,83,2.5,4.4,8.3,,,,,,1
YBEYOS3A3Ic_001727,train,ego: turning,1727,1822,34,50,96,3.4,5.0,9.6,,,,,,1
Sihe6aeyLHg_006383,train,ego: turning,6383,6468,18,52,86,1.8,5.2,8.6,,,,,,1
y4Evv5By6sg_001058,train,ego: turning,1058,1146,40,57,89,4.0,5.7,8.9,,,,,,1
eW9vWga9F5M_000811,train,ego: turning,811,883,34,68,73,3.4,6.8,7.3,,,,,,1
4wKjxDXnmYs_004902,train,ego: turning,4902,4960,14,59,59,1.4,5.9,5.9,,,,,,1
TNZv-NBcV5U_002572,train,ego: turning,2572,2658,19,37,87,1.9,3.7,8.7,,,,,,1
vdLn-qswnRo_000403,train,ego: turning,403,466,36,63,64,3.6,6.3,6.4,,,,,,1
IOoVklIZLMw_001334,train,ego: turning,1334,1460,43,101,127,4.3,10.1,12.7,,,,,,1
HzVbo46kkBA_003484,train,ego: turning,3484,3592,58,84,109,5.8,8.4,10.9,,,,,,1
Vtpe3HAIEm4_003523,train,ego: turning,3523,3606,43,67,84,4.3,6.7,8.4,,,,,,1
xpOyD-qrQUw_003942,train,ego: turning,3942,4002,41,56,61,4.1,5.6,6.1,,,,,,1
xVfPBzDnI2Q_002001,train,ego: turning,2001,2099,35,52,99,3.5,5.2,9.9,,,,,,1
ZIts2XH28SA_002310,train,ego: turning,2310,2400,42,64,91,4.2,6.4,9.1,,,,,,1
sdqIDbZJfy0_005110,train,ego: turning,5110,5198,29,62,89,2.9,6.2,8.9,,,,,,1
fdvMUP8qvzw_000361,train,ego: turning,361,499,56,78,139,5.6,7.8,13.9,,,,,,1
ruiSuGHJf6Q_001641,train,ego: turning,1641,1789,99,116,149,9.9,11.6,14.9,,,,,,1
GYWPqbrY8Z4_001682,train,ego: turning,1682,1748,18,46,67,1.8,4.6,6.7,,,,,,1
bI9JzQSrEGo_003112,train,ego: turning,3112,3196,31,77,85,3.1,7.7,8.5,,,,,,1
Hx8FMhmdOQU_002552,train,ego: turning,2552,2670,64,84,119,6.4,8.4,11.9,,,,,,1
fHUJcUaW2mE_000548,train,ego: turning,548,666,46,100,119,4.6,10.0,11.9,,,,,,1
Rrcjy5t8b20_002997,train,ego: turning,2997,3066,40,58,70,4.0,5.8,7.0,,,,,,1
QERvirE3S5s_002400,train,ego: turning,2400,2494,41,62,95,4.1,6.2,9.5,,,,,,1
QeuzUfHIWYU_000836,train,ego: turning,836,974,21,48,139,2.1,4.8,13.9,,,,,,1
UKBuDqU8qTM_005119,train,ego: turning,5119,5228,41,75,110,4.1,7.5,11.0,,,,,,1
ujVRDgGVzlQ_005062,train,ego: turning,5062,5121,46,59,60,4.6,5.9,6.0,,,,,,1
2SAby_5t94M_002722,train,ego: turning,2722,2799,17,55,78,1.7,5.5,7.8,,,,,,1
qzMjfBx1KI0_000716,train,ego: turning,716,790,21,49,75,2.1,4.9,7.5,,,,,,1
pQdl0apLT70_004534,train,ego: turning,4534,4598,22,39,65,2.2,3.9,6.5,,,,,,1
nvVk7L3GrJQ_005959,train,ego: turning,5959,6039,35,55,81,3.5,5.5,8.1,,,,,,1
6E2N9ld0eHg_001573,train,ego: turning,1573,1671,49,63,99,4.9,6.3,9.9,,,,,,1
xpOyD-qrQUw_003003,train,ego: turning,3003,3096,35,62,94,3.5,6.2,9.4,,,,,,1
Hkui6PJboFg_005547,train,ego: turning,5547,5594,24,47,48,2.4,4.7,4.8,,,,,,1
ezY7QrSWeWw_001853,train,ego: turning,1853,1908,31,46,56,3.1,4.6,5.6,,,,,,1
bhA2ckvE-TQ_004628,train,ego: turning,4628,4786,59,94,159,5.9,9.4,15.9,,,,,,1
3Sqeb-l1RPA_005677,train,ego: turning,5677,5748,23,50,72,2.3,5.0,7.2,,,,,,1
gXezhrOijmQ_004508,train,ego: turning,4508,4596,36,85,89,3.6,8.5,8.9,,,,,,1
ha-IeID24As_004112,train,ego: turning,4112,4200,51,87,89,5.1,8.7,8.9,,,,,,1
bcpfYpmDcp0_001580,train,ego: turning,1580,1651,52,71,72,5.2,7.1,7.2,,,,,,1
jFFhYwgepmY_000251,train,ego: turning,251,349,39,53,99,3.9,5.3,9.9,,,,,,1
LbKd5Ho0wDM_001235,train,ego: turning,1235,1305,6,34,71,0.6,3.4,7.1,,,,,,1
hdOtS-BpUPY_005441,train,ego: turning,5441,5539,33,71,99,3.3,7.1,9.9,,,,,,1
kVhgFPPG-wo_006087,train,ego: turning,6087,6150,22,60,64,2.2,6.0,6.4,,,,,,1
JV0D-YkWHD8_004334,train,ego: turning,4334,4389,19,34,56,1.9,3.4,5.6,,,,,,1
fb5i7JlmJdg_004802,train,ego: turning,4802,4858,48,57,57,4.8,5.7,5.7,,,,,,1
JV0D-YkWHD8_000061,train,ego: turning,61,150,37,46,90,3.7,4.6,9.0,,,,,,1
pWZSG2cUdEo_003028,train,ego: turning,3028,3183,33,40,156,3.3,4.0,15.6,,,,,,1
fHUJcUaW2mE_003721,train,ego: turning,3721,3829,70,106,109,7.0,10.6,10.9,,,,,,1
yhtzAKqRyXw_002489,train,ego: turning,2489,2569,27,43,81,2.7,4.3,8.1,,,,,,1
4K_6s1n6BpU_003459,train,ego: turning,3459,3537,34,48,79,3.4,4.8,7.9,,,,,,1
ruiSuGHJf6Q_004299,train,ego: turning,4299,4387,30,65,89,3.0,6.5,8.9,,,,,,1
Hd2IzHAfkCI_001562,train,ego: turning,1562,1660,37,63,99,3.7,6.3,9.9,,,,,,1
pQdl0apLT70_003191,train,ego: turning,3191,3287,55,76,97,5.5,7.6,9.7,,,,,,1
hfwb3mZZ0fs_004258,train,ego: turning,4258,4367,14,43,110,1.4,4.3,11.0,,,,,,1
oZaUkhs_H-s_005033,train,ego: turning,5033,5133,55,75,101,5.5,7.5,10.1,,,,,,1
pQdl0apLT70_004810,train,ego: turning,4810,4878,18,38,69,1.8,3.8,6.9,,,,,,1
bcpfYpmDcp0_003106,train,ego: turning,3106,3172,19,31,67,1.9,3.1,6.7,,,,,,1
CyeT8rEQOpQ_001316,train,ego: turning,1316,1405,30,51,90,3.0,5.1,9.0,,,,,,1
PEwiwzyTjX0_003618,train,ego: turning,3618,3698,32,65,81,3.2,6.5,8.1,,,,,,1
dZG1VKsgs60_002668,train,ego: turning,2668,2766,38,76,99,3.8,7.6,9.9,,,,,,1
4OGV0AbV91U_001820,train,ego: turning,1820,1922,34,66,103,3.4,6.6,10.3,,,,,,1
2TmFM9p1KF8_005238,train,ego: turning,5238,5323,36,62,86,3.6,6.2,8.6,,,,,,1
IQwS7BEjUxM_002666,train,ego: turning,2666,2769,57,92,104,5.7,9.2,10.4,,,,,,1
qzMjfBx1KI0_002409,train,ego: turning,2409,2473,21,43,65,2.1,4.3,6.5,,,,,,1
TNZv-NBcV5U_000156,train,ego: turning,156,262,50,76,107,5.0,7.6,10.7,,,,,,1
TNZv-NBcV5U_003566,train,ego: turning,3566,3610,27,45,45,2.7,4.5,4.5,,,,,,1
kVhgFPPG-wo_001150,train,ego: turning,1150,1237,25,88,88,2.5,8.8,8.8,,,,,,1
JV0D-YkWHD8_002833,train,ego: turning,2833,2876,24,39,44,2.4,3.9,4.4,,,,,,1
nvVk7L3GrJQ_002650,train,ego: turning,2650,2736,43,49,87,4.3,4.9,8.7,,,,,,1
JV0D-YkWHD8_000956,train,ego: turning,956,1024,37,54,69,3.7,5.4,6.9,,,,,,1
kVhgFPPG-wo_004450,train,ego: turning,4450,4539,22,58,90,2.2,5.8,9.0,,,,,,1
Rrcjy5t8b20_001098,train,ego: turning,1098,1184,30,46,87,3.0,4.6,8.7,,,,,,1
l1XbmdmGr0Q_001744,train,ego: turning,1744,1832,49,63,89,4.9,6.3,8.9,,,,,,1
TlBhM9Xbr2o_001970,train,ego: turning,1970,2050,33,57,81,3.3,5.7,8.1,,,,,,1
Hx8FMhmdOQU_000363,train,ego: turning,363,481,61,93,119,6.1,9.3,11.9,,,,,,1
xVfPBzDnI2Q_003219,train,ego: turning,3219,3319,25,57,101,2.5,5.7,10.1,,,,,,1
J-j5eIHg8I0_005010,train,ego: turning,5010,5188,130,147,179,13.0,14.7,17.9,,,,,,1
X8VgGb1fJDU_000652,train,ego: turning,652,735,38,74,84,3.8,7.4,8.4,,,,,,1
2TmFM9p1KF8_005814,train,ego: turning,5814,5872,26,45,59,2.6,4.5,5.9,,,,,,1
xVfPBzDnI2Q_005239,train,ego: turning,5239,5310,38,61,72,3.8,6.1,7.2,,,,,,1
HzVbo46kkBA_005827,train,ego: turning,5827,5939,45,113,113,4.5,11.3,11.3,,,,,,1
YBEYOS3A3Ic_002478,train,ego: turning,2478,2588,60,84,111,6.0,8.4,11.1,,,,,,1
kVhgFPPG-wo_006012,train,ego: turning,6012,6085,15,50,74,1.5,5.0,7.4,,,,,,1
fb5i7JlmJdg_000281,train,ego: turning,281,359,57,71,79,5.7,7.1,7.9,,,,,,1
90gyBengKDs_003275,train,ego: turning,3275,3373,34,51,99,3.4,5.1,9.9,,,,,,1
oZaUkhs_H-s_004913,train,ego: turning,4913,5031,30,51,119,3.0,5.1,11.9,,,,,,1
0RJPQ_97dcs_005140,train,ego: turning,5140,5221,25,42,82,2.5,4.2,8.2,,,,,,1
HzVbo46kkBA_000073,train,ego: turning,73,185,32,74,113,3.2,7.4,11.3,,,,,,1
vdLn-qswnRo_003885,train,ego: turning,3885,3988,29,44,104,2.9,4.4,10.4,,,,,,1
Hfs4AlBmg70_004372,train,ego: turning,4372,4427,30,53,56,3.0,5.3,5.6,,,,,,1
oZaUkhs_H-s_001527,train,ego: turning,1527,1675,54,82,149,5.4,8.2,14.9,,,,,,1
fWJbp43k644_004869,train,ego: turning,4869,4978,51,94,110,5.1,9.4,11.0,,,,,,1
5vKPYV5w6pw_003253,train,ego: turning,3253,3341,23,73,89,2.3,7.3,8.9,,,,,,1
r6_ZhT7rmhM_003383,train,ego: turning,3383,3479,32,58,97,3.2,5.8,9.7,,,,,,1
JV0D-YkWHD8_001966,train,ego: turning,1966,2031,6,31,66,0.6,3.1,6.6,,,,,,1
L334aqEJxys_002732,train,ego: turning,2732,2840,29,51,109,2.9,5.1,10.9,,,,,,1
GdyJqgxlSxs_004307,train,ego: turning,4307,4368,10,22,62,1.0,2.2,6.2,,,,,,1
xpOyD-qrQUw_005050,train,ego: turning,5050,5106,20,41,57,2.0,4.1,5.7,,,,,,1
Tsl84N96WM8_000961,train,ego: turning,961,1049,35,89,89,3.5,8.9,8.9,,,,,,1
cfrLchAShxQ_001886,train,ego: turning,1886,1981,43,59,96,4.3,5.9,9.6,,,,,,1
UjkeNSr2dXQ_005770,train,ego: turning,5770,5837,19,42,68,1.9,4.2,6.8,,,,,,1
ieP36TLihGM_001404,train,ego: turning,1404,1517,57,88,114,5.7,8.8,11.4,,,,,,1
bcpfYpmDcp0_001395,train,ego: turning,1395,1482,28,88,88,2.8,8.8,8.8,,,,,,1
y1vGuUK0db4_001028,train,ego: turning,1028,1094,32,46,67,3.2,4.6,6.7,,,,,,1
xVfPBzDnI2Q_002991,train,ego: turning,2991,3128,63,79,138,6.3,7.9,13.8,,,,,,1
3tEZvtQZ18Q_004370,train,ego: turning,4370,4468,47,80,99,4.7,8.0,9.9,,,,,,1
Eq7_uD2yN5Y_004419,train,ego: turning,4419,4507,49,70,89,4.9,7.0,8.9,,,,,,1
ieP36TLihGM_001519,train,ego: turning,1519,1597,31,52,79,3.1,5.2,7.9,,,,,,1
K1r3m5OrmB4_000061,train,ego: turning,61,137,16,49,77,1.6,4.9,7.7,,,,,,1
ujVRDgGVzlQ_005856,train,ego: turning,5856,5975,38,65,120,3.8,6.5,12.0,,,,,,1
Z9K13eBUwJM_002500,train,ego: turning,2500,2637,7,31,138,0.7,3.1,13.8,,,,,,1
0z7J7rOpTic_001286,train,ego: turning,1286,1384,36,82,99,3.6,8.2,9.9,,,,,,1
yhtzAKqRyXw_002311,train,ego: turning,2311,2417,27,45,107,2.7,4.5,10.7,,,,,,1
7uTMZ5-aWKA_003538,train,ego: turning,3538,3776,57,216,239,5.7,21.6,23.9,,,,,,1
IQwS7BEjUxM_003927,train,ego: turning,3927,4025,45,73,99,4.5,7.3,9.9,,,,,,1
lmykriTbncM_001360,train,ego: turning,1360,1465,17,54,106,1.7,5.4,10.6,,,,,,1
FqJ4IfRLKmA_000731,train,ego: turning,731,849,39,62,119,3.9,6.2,11.9,,,,,,1
t4Cvbdtebk0_000605,train,ego: turning,605,683,39,64,79,3.9,6.4,7.9,,,,,,1
UKBuDqU8qTM_005230,train,ego: turning,5230,5286,49,57,57,4.9,5.7,5.7,,,,,,1
OPj7lUQOre8_001531,train,ego: turning,1531,1649,53,69,119,5.3,6.9,11.9,,,,,,1
fWJbp43k644_004275,train,ego: turning,4275,4357,31,50,83,3.1,5.0,8.3,,,,,,1
vdLn-qswnRo_002696,train,ego: turning,2696,2767,32,54,72,3.2,5.4,7.2,,,,,,1
bFGmOp9H3MA_005403,train,ego: turning,5403,5498,22,58,96,2.2,5.8,9.6,,,,,,1
4OGV0AbV91U_000521,train,ego: turning,521,582,23,34,62,2.3,3.4,6.2,,,,,,1
nvVk7L3GrJQ_005753,train,ego: turning,5753,5881,34,54,129,3.4,5.4,12.9,,,,,,1
uO2zGO5ydBc_004454,train,ego: turning,4454,4542,24,59,89,2.4,5.9,8.9,,,,,,1
8dI7OolIEXY_002376,train,ego: turning,2376,2452,35,61,77,3.5,6.1,7.7,,,,,,1
kjVywUi1WK4_000061,train,ego: turning,61,197,51,82,137,5.1,8.2,13.7,,,,,,1
uFwnmh0GpBo_000962,train,ego: turning,962,1080,84,93,119,8.4,9.3,11.9,,,,,,1
K1r3m5OrmB4_002566,train,ego: turning,2566,2650,39,74,85,3.9,7.4,8.5,,,,,,1
D_pyFV4nKd4_000073,train,ego: turning,73,209,79,132,137,7.9,13.2,13.7,,,,,,1
LfKfK4I5RPE_002396,train,ego: turning,2396,2438,36,43,43,3.6,4.3,4.3,,,,,,1
OWtbKblBOKI_003922,train,ego: turning,3922,4034,38,91,113,3.8,9.1,11.3,,,,,,1
EY8x-fyQkbk_003548,train,ego: turning,3548,3659,39,62,112,3.9,6.2,11.2,,,,,,1
88LcRU7uEFE_000832,train,ego: turning,832,905,23,41,74,2.3,4.1,7.4,,,,,,1
