unique_id,id,rel_path,source,dataset_version,split,fps_src,n_frames_src,dur_src_s,target,event_frame,event_time_s,fps_embed,timing,weather,ego_involve,bins_10fps_50
C-000018,000018,Crash-1500/000018.mp4,CCD,official,train,10,50,5.0,1,40,4.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
C-000019,000019,Crash-1500/000019.mp4,CCD,official,train,10,50,5.0,1,42,4.2,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
C-000020,000020,Crash-1500/000020.mp4,CCD,official,test,10,50,5.0,1,39,3.9,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
C-000021,000021,Crash-1500/000021.mp4,CCD,official,train,10,50,5.0,1,31,3.1,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000022,000022,Crash-1500/000022.mp4,CCD,official,val,10,50,5.0,1,44,4.4,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
C-000023,000023,Crash-1500/000023.mp4,CCD,official,train,10,50,5.0,1,38,3.8,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
C-000024,000024,Crash-1500/000024.mp4,CCD,official,val,10,50,5.0,1,32,3.2,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000025,000025,Crash-1500/000025.mp4,CCD,official,train,10,50,5.0,1,33,3.3,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000026,000026,Crash-1500/000026.mp4,CCD,official,train,10,50,5.0,1,36,3.6,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000027,000027,Crash-1500/000027.mp4,CCD,official,test,10,50,5.0,1,35,3.5,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000028,000028,Crash-1500/000028.mp4,CCD,official,train,10,50,5.0,1,37,3.7,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000029,000029,Crash-1500/000029.mp4,CCD,official,test,10,50,5.0,1,35,3.5,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000030,000030,Crash-1500/000030.mp4,CCD,official,train,10,50,5.0,1,34,3.4,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000031,000031,Crash-1500/000031.mp4,CCD,official,train,10,50,5.0,1,32,3.2,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000032,000032,Crash-1500/000032.mp4,CCD,official,train,10,50,5.0,1,36,3.6,10.0,Night,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000033,000033,Crash-1500/000033.mp4,CCD,official,val,10,50,5.0,1,33,3.3,10.0,Day,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000034,000034,Crash-1500/000034.mp4,CCD,official,train,10,50,5.0,1,41,4.1,10.0,Night,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1
C-000035,000035,Crash-1500/000035.mp4,CCD,official,train,10,50,5.0,1,48,4.8,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
C-000036,000036,Crash-1500/000036.mp4,CCD,official,train,10,50,5.0,1,46,4.6,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
C-000037,000037,Crash-1500/000037.mp4,CCD,official,train,10,50,5.0,1,34,3.4,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000038,000038,Crash-1500/000038.mp4,CCD,official,train,10,50,5.0,1,46,4.6,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
C-000039,000039,Crash-1500/000039.mp4,CCD,official,val,10,50,5.0,1,30,3.0,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000040,000040,Crash-1500/000040.mp4,CCD,official,train,10,50,5.0,1,31,3.1,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000041,000041,Crash-1500/000041.mp4,CCD,official,train,10,50,5.0,1,46,4.6,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
C-000042,000042,Crash-1500/000042.mp4,CCD,official,train,10,50,5.0,1,35,3.5,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000043,000043,Crash-1500/000043.mp4,CCD,official,train,10,50,5.0,1,36,3.6,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000044,000044,Crash-1500/000044.mp4,CCD,official,train,10,50,5.0,1,34,3.4,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000045,000045,Crash-1500/000045.mp4,CCD,official,train,10,50,5.0,1,43,4.3,10.0,Day,Rainy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
C-000046,000046,Crash-1500/000046.mp4,CCD,official,val,10,50,5.0,1,38,3.8,10.0,Night,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
C-000047,000047,Crash-1500/000047.mp4,CCD,official,val,10,50,5.0,1,46,4.6,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
C-000048,000048,Crash-1500/000048.mp4,CCD,official,train,10,50,5.0,1,44,4.4,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
C-000049,000049,Crash-1500/000049.mp4,CCD,official,train,10,50,5.0,1,33,3.3,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000050,000050,Crash-1500/000050.mp4,CCD,official,test,10,50,5.0,1,38,3.8,10.0,Night,Rainy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
C-000051,000051,Crash-1500/000051.mp4,CCD,official,train,10,50,5.0,1,44,4.4,10.0,Night,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
C-000052,000052,Crash-1500/000052.mp4,CCD,official,val,10,50,5.0,1,44,4.4,10.0,Night,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
C-000053,000053,Crash-1500/000053.mp4,CCD,official,val,10,50,5.0,1,33,3.3,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000054,000054,Crash-1500/000054.mp4,CCD,official,train,10,50,5.0,1,37,3.7,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000055,000055,Crash-1500/000055.mp4,CCD,official,train,10,50,5.0,1,36,3.6,10.0,Day,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000056,000056,Crash-1500/000056.mp4,CCD,official,test,10,50,5.0,1,39,3.9,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
C-000057,000057,Crash-1500/000057.mp4,CCD,official,test,10,50,5.0,1,36,3.6,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000058,000058,Crash-1500/000058.mp4,CCD,official,train,10,50,5.0,1,34,3.4,10.0,Day,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000059,000059,Crash-1500/000059.mp4,CCD,official,test,10,50,5.0,1,32,3.2,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000060,000060,Crash-1500/000060.mp4,CCD,official,train,10,50,5.0,1,31,3.1,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000061,000061,Crash-1500/000061.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000062,000062,Crash-1500/000062.mp4,CCD,official,train,10,50,5.0,1,43,4.3,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
C-000063,000063,Crash-1500/000063.mp4,CCD,official,train,10,50,5.0,1,35,3.5,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000064,000064,Crash-1500/000064.mp4,CCD,official,train,10,50,5.0,1,39,3.9,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
C-000065,000065,Crash-1500/000065.mp4,CCD,official,train,10,50,5.0,1,39,3.9,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
C-000066,000066,Crash-1500/000066.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000067,000067,Crash-1500/000067.mp4,CCD,official,train,10,50,5.0,1,34,3.4,10.0,Day,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000068,000068,Crash-1500/000068.mp4,CCD,official,train,10,50,5.0,1,38,3.8,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
C-000069,000069,Crash-1500/000069.mp4,CCD,official,val,10,50,5.0,1,43,4.3,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
C-000070,000070,Crash-1500/000070.mp4,CCD,official,train,10,50,5.0,1,40,4.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
C-000071,000071,Crash-1500/000071.mp4,CCD,official,train,10,50,5.0,1,40,4.0,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
C-000072,000072,Crash-1500/000072.mp4,CCD,official,val,10,50,5.0,1,34,3.4,10.0,Day,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000073,000073,Crash-1500/000073.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Normal,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000074,000074,Crash-1500/000074.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000075,000075,Crash-1500/000075.mp4,CCD,official,test,10,50,5.0,1,30,3.0,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000076,000076,Crash-1500/000076.mp4,CCD,official,val,10,50,5.0,1,30,3.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000077,000077,Crash-1500/000077.mp4,CCD,official,train,10,50,5.0,1,44,4.4,10.0,Day,Rainy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
C-000078,000078,Crash-1500/000078.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000079,000079,Crash-1500/000079.mp4,CCD,official,test,10,50,5.0,1,39,3.9,10.0,Day,Snowy,No,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
C-000080,000080,Crash-1500/000080.mp4,CCD,official,val,10,50,5.0,1,30,3.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000081,000081,Crash-1500/000081.mp4,CCD,official,train,10,50,5.0,1,30,3.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000082,000082,Crash-1500/000082.mp4,CCD,official,val,10,50,5.0,1,36,3.6,10.0,Night,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000083,000083,Crash-1500/000083.mp4,CCD,official,train,10,50,5.0,1,35,3.5,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
C-000084,000084,Crash-1500/000084.mp4,CCD,official,train,10,50,5.0,1,42,4.2,10.0,Day,Snowy,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
C-000085,000085,Crash-1500/000085.mp4,CCD,official,val,10,50,5.0,1,30,3.0,10.0,Day,Normal,Yes,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
